회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야
노이지마케팅,병의원 병원 원고작성 작가모집 (경력만),상시모집,00명(인원미정),무관,무관 장년가능,무관,,"시급 9,160원
협의가능 당일지급 주급가능",3개월~6개월,요일협의,시간협의,문서작성·자료조사,알바,"국민연금, 산재보험, 고용보험, 건강보험",
ㅋㅋㅋ A급 꿀알바 100만원 일시불수당 / 출근없는일,돈 많이 필요하신분/단기주말당일야간카페휴대폰의류잡화피부미용뷰티재택투잡부업,상시모집,15명 친구와 함께 근무가능,무관,25세(1998년생) ~ 70세(1953년생),무관,,"건별 1,000,000원
협의가능
ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",1년이상 협의가능,요일협의 (전국어디서나 출근없는일),시간협의(전국어디서나 출근없는일(재택/투잡)),"매장관리·판매,고객상담·인바운드,금융·보험영업 초보가능","알바, 위촉직(프리랜서)","인센티브제, 고용보험","개인영업, 사업점운영(지사)"
㈜세금환급도움센터,"[하루4시간, 월급120만원, 고수입]단순기업체 미수금파악 업무",2022.12.11 (마감 11일전),00명(인원미정),무관,23세(2000년생) ~ 49세(1974년생),고등학교 졸업 이상,,"월급 1,200,000원",1년이상 협의가능,주4일,09:00~13:00,설문조사·리서치 초보가능,알바,,
교원,[대학생/재택알바/재택근무] 교원그룹 초등 전과목 재택 관리 교사 모집,2022.11.30 (오늘 마감),00명(인원미정),무관,무관,대학(4년제) 졸업 이상,"컴퓨터활용가능, 유사업무 경험","월급 1,700,000원
협의가능
관리 회원 수에 따라 수수료 차등 지급 (영업 활동 일체 없음, 본사에서 회원 배정)",6개월~1년,요일협의 (주 5일 혹은 주3일),시간협의(주5일 근무시 오후 3~9시 혹은 4~10시/주3일 근무시 오후 5~9시 혹은 6~10시),"방문·학습지,교육·강사 기타 초보가능","알바, 위촉직(프리랜서)",각종 경조금,
에임,[재택근무] 꿀알바/카페/단순업로드/재택/초보/학생/직장인/육아맘/누구나,상시모집,00명(인원미정),무관,무관,무관,,"일급 150,000원
당일지급",1개월~3개월 협의가능,요일협의,시간협의,"마케팅·광고·홍보,바이럴·SNS마케팅,문서작성·자료조사 초보가능",알바,,
㈜그루마케팅,"블로그포스팅알바 학생, 주부, 초보 손쉬운 부업알바",상시모집,00명(인원미정),무관,무관,무관,,"건별 100,000원",1개월~3개월,요일협의,시간협의(10분),"사무보조,마케팅·광고·홍보","알바, 계약직",,
㈜그루마케팅,5분포스팅 / 간단글업로드 / 원고포스팅 / 블로그포스팅,상시모집,00명(인원미정),무관,무관,무관,,"건별 100,000원",1개월~3개월,요일협의,시간협의(10분),"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",,
㈜다이사,재택/초보/부업O)온라인.바이럴 마케팅 프리랜서 모집(시간무관),상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관,고등학교 졸업 이상,유사업무 경험,"건별 10,000원
단, 프로모션 시행 시, 건당 2배 인상",1개월~3개월 협의가능,요일협의 (요일 무관),시간협의(시간 무관),"바이럴·SNS마케팅,마케팅·광고·홍보 초보가능",위촉직(프리랜서),,
DB무상제공/신입정착금100만/영상교육/어플전자청약,(재택) ㅎㅎ인생 한강물 아니면 한강뷰ㅎㅎ,2022.12.19 (마감 19일전),10명 친구와 함께 근무가능,무관,무관 장년가능,무관,유사업무 경험,"건별 1,000,000원
협의가능
사례: 26세대학생 130만/46세주부 560만/58세투잡러 260만 등등 하는만큼 벌어가십니다.(상한x)",1년이상 협의가능,요일협의 (출근X 언제어디든 스마트폰 하나로 계약OK),시간협의(출근X 언제어디든 스마트폰 하나로 계약OK),"고객상담·인바운드,텔레마케팅·아웃바운드,금융·보험영업 초보가능","알바, 위촉직(프리랜서)","인센티브제, 고용보험",
모닝듀화장지,"블로그,인스타그램,영상촬영 및 편집 가능자 (재택)",상시모집,00명(인원미정),무관,무관,무관,유사업무 경험,"월급 2,000,000원",6개월~1년,주5일,09:00~18:00,"웹·모바일디자인,그래픽·영상·편집디자인","알바, 계약직",,
에프알엘코리아주식회사,[유니클로] 현대시티몰 가든파이브점 풀타이머 모집합니다,2022.12.01 (내일 마감),0명(인원미정) 친구와 함께 근무가능,무관,무관,고등학교 졸업 이상,"유사업무 경험, 대학재학생, 대학휴학생","연봉 32,600,000원
수습기간있음
1분 단위 연장 및 야근 수당 별도 지급/ 성과급 포함",1년이상,월~일,"시간협의(오전, 오후 교대근무)","의류·잡화·쥬얼리매장,매장관리·판매,서비스 기타,유니클로 브랜드",계약직,"국민연금, 고용보험, 산재보험, 건강보험, 야간근로수당, 연장근로수당",
[[ 확실한성공 ]] [[ 무자본창업 ]] 프리드라이프,[[[ 확실한성공 ]]] [[[ 무자본창업 ]]] 프리드 전국사업점 모집,상시모집,15명 친구와 함께 근무가능,무관,25세(1998년생) ~ 70세(1953년생),무관,,"건별 1,000,000원
협의가능
ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",1년이상 협의가능,요일협의 (전국어디서나 출근없는일),시간협의(전국어디서나 출근없는일(재택/투잡)),"금융·보험영업,바이럴·SNS마케팅,휴대폰·전자기기매장 초보가능","알바, 위촉직(프리랜서)","인센티브제, 고용보험","개인영업, 사업점운영(지사)"
ㅋㅋ 화끈한 일시불 거침없이 쏩니다 / 온라인 화상교육,000 요즘 투잡 기본입니다 / 출근없는 재택투잡 단기 당일부업 야간주말,상시모집,15명 친구와 함께 근무가능,무관,25세(1998년생) ~ 70세(1953년생),무관,,"건별 1,000,000원
협의가능
ㅋㅋㅋ 평균수입은 없어요, 한달에 75만원 버는 사람도 있구요, 한달에 1,800만원 버는 사람도 있거든요. ㅋㅋ",1년이상 협의가능,요일협의 (전국어디서나 출근없는일),시간협의(전국어디서나 출근없는일(재택/투잡)),"금융·보험영업,바이럴·SNS마케팅,의류·잡화·쥬얼리매장 초보가능","알바, 위촉직(프리랜서)","고용보험, 인센티브제","개인영업, 사업점운영(지사)"
㈜미니원,"도시재생/농촌공간 계획 (비상근,정규직/재택가능)",2022.12.19 (마감 19일전),1명,무관,무관,대학(4년제) 졸업 이상,"컴퓨터활용가능, 포토샵가능, 업무 관련 자격증 소지, 파워포인트가능, 유사업무 경험","연봉 36,000,000원
협의가능",1년이상 협의가능,월~금,시간협의,문서작성·자료조사,"정규직, 계약직","국민연금, 고용보험, 산재보험, 건강보험, 연차, 월차, 정기휴가, 퇴직금, 장기근속자 포상, 중식제공, 주차가능","도시재생사업계획, 농촌공간계획"
[면접비 2만원] 안양범계 센터,[재택가능] 10시-3시 [파트타임] 신입 첫달 250만원 (실적무관),2022.12.15 (마감 15일전),00명(인원미정) 친구와 함께 근무가능,무관,무관 장년가능,무관,유사업무 경험,"월급 2,500,000원",1년이상 협의가능,월~금,10:00~15:00,"고객상담·인바운드,금융·보험영업,텔레마케팅·아웃바운드,ACE화재 브랜드 초보가능",위촉직(프리랜서),"월차, 인센티브제, 경조휴가제",
확장 [송파천호 센터] AIA 본사직영 상담원,[재택근무][면접선물] 최대1000프로 수당보장 (신입가능,2022.12.13 (마감 13일전),00명(인원미정) 친구와 함께 근무가능,무관,무관 장년가능,무관,업무 관련 자격증 소지(생명보험코드(설계사 자격증)),"월급 3,500,000원
협의가능",1년이상,요일협의,10:00~17:00,"금융·보험영업,텔레마케팅·아웃바운드,안내데스크·리셉션,AIA생명 브랜드 초보가능",위촉직(프리랜서),"연차, 월차, 인센티브제, 장기근속자 포상, 장기근속수당, 경조휴가제, 우수사원 표창/포상, 각종 경조금",
바이스퀘어,(급구)제페토 게임 체험 알바 2차(단순 접속이 잘 되는지 테스트),상시모집,00명(인원미정) 친구와 함께 근무가능,무관,무관,무관,,"건별 5,000원
협의가능",하루(1일) 협의가능,요일협의,시간협의,QA·테스터·검증,알바,,
펫프로,재택근무 펫보험 상담할 반려인 상담원을 모집합니다.,상시모집,20명,무관,무관,무관,,"시급 10,000원
협의가능",3개월~6개월,요일협의,시간협의,"설문조사·리서치,고객상담·인바운드,금융·보험영업",위촉직(프리랜서),,
웅진씽크빅,[100% 재택] 웅진 스마트올 유초등 상담/담임교사 전국모집,상시모집,30명 친구와 함께 근무가능,무관,무관,무관,유사업무 경험,"월급 3,000,000원
주15시간 이상 근무 시 주휴수당 포함 기준",3개월~6개월,월~금,14:00~21:00,"보조교사,교육·강사 기타 초보가능",위촉직(프리랜서),각종 경조금,
