회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야,인원_추가사항,연령_추가사항,급여_추가사항,급여형태,급여금액,근무기간_추가사항,근무요일_추가사항,근무시간_추가사항
블로그 서포터즈 지원자 선호도 1등기업 [까레오],[사무보조/재택근무/ 당일지급] 꿀부업알바 건당12만원 블로그포스팅관리,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의 가능, 추후 인상 가능']",1개월~3개월,요일협의,시간협의,"마케팅·광고·홍보,바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의 가능, 추후 인상 가능",건별,"100,000원",협의가능,없음,없음
세일코리아넷 재택근무 상담원,[재택근무/시간선택]홈쇼핑 인바운드 재택상담원 채용,상시모집,00명,무관,무관,고등학교 졸업 이상,유사업무 경험,"['월급', '2,000,000원', '아래 상세 내용 확인부탁드립니다.']",3개월~6개월,월~금,시간협의,고객상담·인바운드 초보가능,"계약직, 위촉직(프리랜서)",없음,없음,"인원미정,친구",없음,아래 상세 내용 확인부탁드립니다.,월급,"2,000,000원",협의가능,없음,(아래내용 확인 부탁드립니다.)
㈜주오코스메틱스,(재택 근무)블로그운영 및 관리 알바 구합니다 (초보가능),상시모집,3명,무관,무관,무관,없음,"['월급', '550,000원']",6개월~1년,월~금,시간협의,"사무보조,바이럴·SNS마케팅 초보가능",알바,없음,없음,없음,없음,없음,월급,"550,000원",협의가능,없음,(10:00 - 12:50)
[면접비 2만원] 안양범계 센터,[재택가능] 10시-3시 [파트타임] 신입 첫달 250만원 (실적무관),2022.12.15,00명,무관,무관,무관,유사업무 경험,"['월급', '2,500,000원']",1년이상,월~금,10:00~15:00,"고객상담·인바운드,금융·보험영업,텔레마케팅·아웃바운드,ACE화재 브랜드 초보가능",위촉직(프리랜서),"월차, 인센티브제, 경조휴가제",없음,"인원미정,친구",장년가능,없음,월급,"2,500,000원",협의가능,없음,없음
주식회사 솔라루나,재택아웃바운드 TM업무자 모집합니다.,상시모집,00명,무관,무관,무관,유사업무 경험,"['건별', '60,000원', '협의가능', '방문접수건에 대해 1건당60000원']",1개월~3개월,주5일,시간협의,텔레마케팅·아웃바운드,알바,없음,"아웃바운드, 아웃바운드",인원미정,없음,"협의가능,방문접수건에 대해 1건당60000원",건별,"60,000원",협의가능,"(월, 화, 수, 목, 금)",(업무시간 조율가능 오전10~12시 2시~6시 사이 )
탑클래스에듀아이,[재택 화상과외 강사모집],상시모집,00명,무관,20세(2003년생) ~ 45세(1978년생),대학(4년제) 졸업 이상,"유사업무 경험, 대학재학생, 대학휴학생","['시급', '20,000원', '협의가능', '학년과 근무 개월수에 따라서 14,000원~22,000원+인센티브.']",6개월~1년,요일협의,시간협의,"입시·보습학원,외국어·어학원,교육·강사 기타","알바, 계약직","인센티브제, 우수사원 표창/포상, 장기근속자 포상, 연장근로수당",없음,"인원미정,친구",없음,"협의가능,학년과 근무 개월수에 따라서 14,000원~22,000원+인센티브.",시급,"20,000원",없음,없음,(평일 저녁시간 or 주말 가능.)
㈜테스트웍스,(모집)얼굴 표정 및 머리 움직임 영상 촬영자 모집,상시모집,999명,무관,무관,무관,없음,"['건별', '50,000원', '14건 동영상 촬영 및 검수 통과시 50,000원(세금포함) 지급']",1주일~1개월,주1일,00:00~24:00,"미디어 기타,동영상촬영·편집,사진촬영·편집",알바,없음,없음,없음,없음,"14건 동영상 촬영 및 검수 통과시 50,000원(세금포함) 지급",건별,"50,000원",없음,없음,없음
더엘커뮤니케이션,재택근무 알바 - 블로그 원고 작성 아르바이트 모집,상시모집,5명,무관,무관,무관,유사업무 경험,"['건별', '3,500원']",3개월~6개월,요일협의,시간협의,"바이럴·SNS마케팅,문서작성·자료조사",알바,없음,없음,없음,없음,없음,건별,"3,500원",협의가능,없음,없음
㈜그루마케팅,"[건당10만/초보가능] 블로그포스팅,키워드포스팅,원고발행",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,재택알바/초보가능/포스팅알바/건10만/원고작성,상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"블로그포스팅알바 학생, 주부, 초보 손쉬운 부업알바",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,5분포스팅 / 간단글업로드 / 원고포스팅 / 블로그포스팅,상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"[블로그포스팅,원고발행,,꿀알바,간편알바",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"재택 꿀알바 블로그포스팅, 당일10만지급, 초보가능",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"재택 건10만-원고업로드,5분포스팅(초보,주부,10대,20대가능",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
르에브,여성의류 쇼핑몰 프리랜서 웹디 모집 (재택근무),상시모집,1명,여자,20세(2003년생) ~ 29세(1994년생),무관,"컴퓨터활용가능, 포토샵가능","['시급', '9,160원']",3개월~6개월,요일협의,시간협의,"웹·모바일디자인,MD·쇼핑몰운영",위촉직(프리랜서),인센티브제,없음,없음,없음,없음,시급,"9,160원",협의가능,없음,(근로자 맞춤)
락휴노래방,#락휴노래연습장#구리점#아르바이트모집,상시모집,6명,무관,무관,무관,"유사업무 경험, 인근거주","['시급', '11,000원', '협의가능', '11,000']",1년이상,요일협의,시간협의,노래방 초보가능,알바,없음,없음,없음,없음,"협의가능,11,000",시급,"11,000원",협의가능,"(목,금 또는 토일 또는 목,금,토,일 (협의 가능합니다))",(오후11시~ 아침 8시 (협의 가능합니다))
MABASA,재택근무 (부업) 해외구매대행 소싱 알바,상시모집,2명,무관,무관,"대학(2,3년제) 졸업 이상","중국어가능, 컴퓨터활용가능, 유사업무 경험","['시급', '10,000원', '1주일 14.5시간 (월-목 3시간, 금 2.5시간)']",1년이상,월~금,시간협의,"데이터수집·가공,문서작성·자료조사","알바, 위촉직(프리랜서)",장기근속자 포상,없음,없음,없음,"1주일 14.5시간 (월-목 3시간, 금 2.5시간)",시급,"10,000원",협의가능,없음,(오전 9-12시 (시간 협의 가능))
박정용 국어학원,국어 학원 한글 편집 알바 구합니다.,상시모집,00명,무관,무관,무관,없음,"['시급', '10,000원', '협의가능', '건당 10만원~30만원']",6개월~1년,요일협의,시간협의,편집·교정·교열,알바,없음,없음,인원미정,없음,"협의가능,건당 10만원~30만원",시급,"10,000원",없음,(자택 근무),(자택 근무)
펫타임,PETTIME 반려동물 프리랜서 모집 (자격증 무관),상시모집,00명,무관,무관,무관,"업무 관련 자격증 소지, 유사업무 경험","['시급', '15,000원', '협의가능']",6개월~1년,요일협의,시간협의,서비스 기타,"알바, 계약직",없음,"펫 산책, 펫 돌봄, 펫 행동교정, 펫 미용, 기타",인원미정,없음,협의가능,시급,"15,000원",협의가능,없음,없음
토종원,"식품 쇼핑몰 포스팅 및 홍보마케팅 , 재택가능",상시모집,2명,무관,무관,무관,유사업무 경험,"['건별', '15,000원', '협의가능 수습기간있음']",1년이상,요일협의,시간협의,"마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직","장기근속자 포상, 우수사원 표창/포상, 각종 경조금",없음,없음,없음,협의가능 수습기간있음,건별,"15,000원",협의가능,없음,없음
홈그린,일산거주자중 행사장 다양한 전시 부스들을 스케치업으로 디자인 작업하실분,상시모집,3명,무관,무관,무관,유사업무 경험,"['건별', '1,200,000원', '전체 작업 페이는 120만원 1일페이로 환산하면 약 10만원정도입니다. 일정추가시 추가페이 지급합니다.']",1주일~1개월,요일협의,시간협의,"CAD·CAM·인테리어디자인,그래픽·영상·편집디자인,캐릭터·애니메이션디자인",알바,인센티브제,없음,없음,없음,전체 작업 페이는 120만원 1일페이로 환산하면 약 10만원정도입니다. 일정추가시 추가페이 지급합니다.,건별,"1,200,000원",12.03(토) ~ 01.03(화),(본인시간 및 요일 가능 하실때 위주로 협의하여 진행합니다. 주5일),(본인시간 및 요일 가능 하실때 위주로 협의하여 진행합니다. 주5일)
오새로이 딜리버리,서초/쿠팡이츠플렉스/배달기사님 모집/주급정산/고수익/월600가능,상시모집,0명,무관,무관,무관,없음,"['시급', '20,000원', '주급가능']",1개월~3개월,요일협의,08:00~02:00,"서비스 기타,배달대행·음식배달",알바,"고용보험, 산재보험, 월차, 인센티브제, 우수사원 표창/포상, 장기근속자 포상",없음,"인원미정,친구",없음,주급가능,시급,"20,000원",없음,(금토일 필수 + 평일 1일 이상 ),(익일)
해해해,파티용품 검수 제작 OPP포장 부업,상시모집,1명,무관,무관,무관,유사업무 경험,"['건별', '100원', '당일지급 주급가능']",1년이상,요일협의,시간협의,포장·품질검사 초보가능,"알바, 위촉직(프리랜서)","국민연금, 고용보험, 산재보험, 건강보험",없음,없음,없음,당일지급 주급가능,건별,100원,협의가능,없음,없음
GS25 괴정럭키점,"일,월 주2일 야간 알바모집",상시모집,0명,무관,무관,무관,없음,"['시급', '9,160원']",6개월~1년,주2일,23:00~08:00,"매장관리·판매,편의점,GS25 브랜드 초보가능",알바,없음,없음,인원미정,없음,없음,시급,"9,160원",없음,"(월, 일)",(익일)
머니맨,[재택근무]해외구매대행 쇼핑몰(마켓) 상품 수정/업로드(퍼센티 사용),상시모집,2명,무관,무관,무관,유사업무 경험,"['건별', '250원', '협의가능', '업무가 숙달되면 추후 상향 가능합니다']",6개월~1년,월~금,시간협의,"사무보조,MD·쇼핑몰운영,데이터수집·가공",알바,없음,없음,없음,없음,"협의가능,업무가 숙달되면 추후 상향 가능합니다",건별,250원,협의가능,없음,"(평일 일과중, 저녁도 가능(협의))"
썩세스웨이,"[재택근무] 리포트샘플, 조사, 작성(바이럴 마케팅X), 초대졸 이상",상시모집,00명,무관,무관,"대학(2,3년제) 졸업 이상","컴퓨터활용가능, 한글(HWP)가능, 워드가능, 대학재학생, 대학휴학생","['건별', '12,000원', '수습기간있음']",6개월~1년,요일협의,시간협의,"사무보조,편집·교정·교열","알바, 위촉직(프리랜서)",없음,없음,"인원미정,친구",없음,수습기간있음,건별,"12,000원",없음,(탄력근무입니다.),(탄력근무입니다.)
큐리어스,해외온라인마켓 기획 및 상품등록,상시모집,3명,무관,무관,무관,"영어가능, 중국어가능, 포토샵가능","['건별', '10,000원', '수습기간있음', '수습기간 1달간 건당 5000원']",3개월~6개월,요일협의,시간협의,"MD·쇼핑몰운영,문서작성·자료조사,사무보조 초보가능","알바, 계약직",없음,없음,없음,없음,"수습기간있음,수습기간 1달간 건당 5000원",건별,"10,000원",협의가능,없음,없음
스테이곶,고시원총무 구합니다,2022.12.18,1명,무관,무관,무관,없음,"['월급', '700,000원', '협의가능']",1년이상,요일협의,시간협의,"매장관리·판매,스터디룸·독서실·고시원 초보가능",알바,없음,없음,없음,없음,협의가능,월급,"700,000원",없음,없음,없음
할리스 남부터미널점,평일 미들 파트타임 근무자 구합니다,2022.12.03,1명,무관,23세(2000년생) ~ 30세(1993년생),고등학교 졸업 이상,"유사업무 경험, 대학재학생, 대학휴학생","['시급', '9,500원', '수습기간있음']",3개월~6개월,요일협의,12:00~16:00,"커피전문점,할리스커피 브랜드",알바,"고용보험, 산재보험, 근무복 지급","음료제조, 매장관리",없음,없음,수습기간있음,시급,"9,500원",없음,(화.수.목 중 주2회 또는 3회 근무가능한 분),없음
하나이벤트,수학여행/수련원/캠프/레크리에이션/체육대회등 진행및인솔자를 구합니다.,상시모집,20명,무관,무관,무관,없음,"['일급', '400,000원', '협의가능']",6개월~1년,요일협의,시간협의,"레져스포츠 강사,예체능 강사,이벤트·행사스텝",알바,없음,없음,없음,없음,협의가능,일급,"400,000원",없음,없음,없음
하나이벤트,수학여행/수련원/캠프/레크리에이션/체육대회등 진행및인솔자를 구합니다.,상시모집,20명,무관,무관,무관,없음,"['일급', '400,000원', '협의가능']",6개월~1년,요일협의,시간협의,"레져스포츠 강사,예체능 강사,이벤트·행사스텝",알바,없음,없음,없음,없음,협의가능,일급,"400,000원",없음,없음,없음
에어비엔비,출근없음 재택교육후 재택근무 / 에어비앤비 고객센터 인바운드 모집,상시모집,50명,무관,무관,무관,없음,"['월급', '2,500,000원']",1년이상,요일협의,시간협의,"고객상담·인바운드,텔레마케팅·아웃바운드,사무보조",정규직,없음,없음,친구,없음,없음,월급,"2,500,000원",협의가능,없음,없음
쿠팡이츠(((재택))근무/ 서울(독산고객센터),[재택/근무][오후-파트타임(4시간)] 쿠팡이츠(독산센터) 인바운드 상담,상시모집,00명,무관,무관,무관,"대학재학생, 대학휴학생","['월급', '1,500,000원', '수습기간있음', '수습기간 급여차감없음 (100%지급)']",1년이상,요일협의,17:30~22:00,"고객상담·인바운드,텔레마케팅·아웃바운드,쇼핑몰인바운드,쿠팡 브랜드 초보가능","알바, 정규직","국민연금, 고용보험, 산재보험, 건강보험, 연차, 인센티브제, 퇴직금, 퇴직연금, 장기근속자 포상, 우수사원 표창/포상, 휴일근로수당, 연월차수당, 장기근속수당, 연장근로수당, 명절 귀향비 지급, 각종 경조금, 경조휴가제",없음,"인원미정,친구",없음,"수습기간있음,수습기간 급여차감없음 (100%지급)",월급,"1,500,000원",협의가능,(주말(공휴일)이 포함된 주 5일근무조건),없음
메종비퍼니처,인터넷 쇼핑몰 웹디자이너를 모집합니다.,2022.12.16,1명,무관,무관,무관,유사업무 경험,"['주급', '380,000원', '협의가능 당일지급 주급가능 식대별도지급']",6개월~1년,요일협의,시간협의,"웹·모바일디자인,그래픽·영상·편집디자인","알바, 계약직",없음,"웹디자이너, 인터넷 쇼핑몰, 쇼핑몰 관리",없음,없음,협의가능 당일지급 주급가능 식대별도지급,주급,"380,000원",협의가능,(재택 자율 근무),(자율 근무)
㈜투파이브,간단한 홈페이지 제작,2022.12.04,1명,무관,무관,무관,없음,"['건별', '300,000원']",1주일~1개월,요일협의,시간협의,"HTML코딩,프로그래머,웹·모바일디자인",알바,없음,없음,없음,없음,없음,건별,"300,000원",협의가능,없음,없음
클리브웍스,일본 / 대만 / 인도 원어민 모집,2022.12.01,0명,무관,무관,무관,"일본어가능, 중국어가능, 대학재학생, 대학휴학생","['시급', '10,000원']",1주일~1개월,주6일,09:00~03:00,"서비스 기타,생산·건설·노무 기타,교재·교육콘텐츠제작 초보가능",알바,없음,"일본 원어민, 인도 원어민, 대만 원어민","인원미정,친구",없음,없음,시급,"10,000원",11.28(월) ~ 12.10(토),"(월, 화, 수, 목, 금, 토)",(익일)
㈜뷰티소셜,[강남 지역] 성형외과 방문 상담 후 리뷰 작성,상시모집,10명,무관,무관,무관,없음,"['시급', '20,000원', '면접 후 협의 능력에 따라 협의 가능한 부분입니다.']",1주일이하,주5일,시간협의,설문조사·리서치,알바,없음,없음,없음,없음,면접 후 협의 능력에 따라 협의 가능한 부분입니다.,시급,"20,000원",없음,없음,없음
#방씨기획 #꿀알바 #건당 최대10만원,"[재택근무/당일지급]학생,주부,초보,직장인 누구나 가능 야간,주말도 가능",상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능']",1주일~1개월,월~금,10:00~15:00,"마케팅·광고·홍보,바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",없음,협의가능 당일지급 주급가능,건별,"100,000원",협의가능,없음,없음
바로상담가능#[한국블로그마케팅],블로그기자단/건당10만/당일지급/학생/주부/초보/주말/야간/단기,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의 가능, 추후 인상 가능']",1주일~1개월,요일협의,시간협의,"바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의 가능, 추후 인상 가능",건별,"100,000원",협의가능,없음,없음
기본급과 매일 시상 과 월인센티브 는 300 이상,재택 월300이상 가능 / 집에서하는일 / 간단확인콜 / 오토콜아님,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 군필자, 유사업무 경험, 대학재학생, 대학휴학생","['월급', '2,850,000원', '협의가능', '매일 시상 + 월인센티브 =300 이상']",1년이상,주5일,시간협의,"텔레마케팅·아웃바운드,고객상담·인바운드,설문조사·리서치 초보가능","알바, 정규직","우수사원 표창/포상, 장기근속자 포상, 정기보너스, 인센티브제, 연차, 각종 경조금, 정기휴가, 장기근속수당, 명절 귀향비 지급, 국민연금, 고용보험, 산재보험, 건강보험, 퇴직연금",없음,"인원미정,친구",장년가능,"협의가능,매일 시상 + 월인센티브 =300 이상",월급,"2,850,000원",협의가능,없음,(풀타임/선택제)
기본급과 매일 시상 과 월인센티브 는400 이상,재택 월500이상 가능 / 집에서하는일 / 건강식품해피콜/최고대우,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 군필자, 유사업무 경험, 대학재학생, 대학휴학생","['월급', '3,500,000원', '협의가능', '매일 시상 + 월인센티브 = 400 이상']",1년이상,주5일,시간협의,"텔레마케팅·아웃바운드,고객상담·인바운드,콜센터관리·모니터링 초보가능","알바, 정규직","우수사원 표창/포상, 장기근속자 포상, 정기보너스, 인센티브제, 연차, 각종 경조금, 정기휴가, 장기근속수당, 명절 귀향비 지급, 국민연금, 고용보험, 산재보험, 건강보험, 퇴직연금",없음,"인원미정,친구",장년가능,"협의가능,매일 시상 + 월인센티브 = 400 이상",월급,"3,500,000원",협의가능,없음,(풀타임/선택제)
바로상담가능#[한국블로그마케팅],블로그기자단/건당10만/당일지급/학생/주부/초보/주말/야간/단기,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의 가능, 추후 인상 가능']",1주일~1개월,요일협의,시간협의,"바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의 가능, 추후 인상 가능",건별,"100,000원",협의가능,없음,없음
네모인,"[네모]시급최대18,500원/인센티브높음/2주교육후재택/쉬운TM/꿀알바",상시모집,00명,무관,무관,고등학교 졸업 이상,"컴퓨터활용가능, 장애인, 유사업무 경험","['시급', '13,000원', '수습기간있음']",3개월~6개월,월~금,10:00~18:00,"고객상담·인바운드,사무보조,문서작성·자료조사",알바,"국민연금, 고용보험, 산재보험, 건강보험",없음,"인원미정,친구",없음,수습기간있음,시급,"13,000원",없음,없음,(휴게시간 60분)
위런에듀,[재택근무] 영어 문장에 대한 단어 및 설명 확인 및 수정 보완,2022.12.03,3명,무관,무관,무관,없음,"['건별', '350,000원', '3.3% 세금 제외 후 지급, 문장 수에 따라 지급 금액이 다릅니다.']",1주일~1개월,요일협의,시간협의,"외국어·어학원,번역·통역,교육·강사 기타",알바,없음,없음,없음,없음,"3.3% 세금 제외 후 지급, 문장 수에 따라 지급 금액이 다릅니다.",건별,"350,000원",없음,없음,없음
"TCK 쿠팡이츠 독산센터 / 단순상담 /남,녀무관",[ 집에서근무 / 17시반-22시 / 쿠팡이츠 재택 상담사 모집],상시모집,00명,무관,무관,고등학교 졸업 이상,없음,"['월급', '1,450,000원']",1년이상,요일협의,17:30~22:00,"고객상담·인바운드,사무보조,서비스 기타 초보가능","정규직, 계약직","고용보험, 국민연금, 산재보험, 건강보험, 연차, 인센티브제, 퇴직금, 연장근로수당",없음,인원미정,없음,없음,월급,"1,450,000원",협의가능,(월 6-7회 주말 및 휴일 근무),(휴게시간 30분)
#방씨기획 #꿀알바 #건당 최대10만원,"[재택근무/당일지급]학생,주부,초보,직장인 누구나 가능 야간,주말도 가능",상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능']",1주일~1개월,월~금,10:00~15:00,"마케팅·광고·홍보,바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",없음,협의가능 당일지급 주급가능,건별,"100,000원",협의가능,없음,없음
㈜알체라,[재택근무/프리랜서] 3D Cubiod 입력,2022.12.12,00명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험","['건별', '300원', '3.3% 공제 후 보수 지급']",3개월~6개월,요일협의,시간협의,데이터수집·가공,위촉직(프리랜서),없음,없음,인원미정,없음,3.3% 공제 후 보수 지급,건별,300원,없음,없음,없음
지유컴퍼니,재택근무 소설 작성 알바 구합니다 재택/부업/알바,2022.12.18,0명,여자,25세(1998년생) ~ 45세(1978년생),무관,없음,"['월급', '2,000,000원']",1년이상,요일협의,시간협의,문서작성·자료조사,위촉직(프리랜서),없음,없음,인원미정,없음,없음,월급,"2,000,000원",없음,없음,없음
상상코칭,전국/유아 초등 전과목 코치모집/거주지 방문/온라인 수업/재택가능,2022.12.12,00명,무관,20세(2003년생) ~ 49세(1974년생),"대학(2,3년제) 졸업 이상",없음,"['건별', '2,000,000원', '수습기간있음']",1년이상,주5일,시간협의,"방문·학습지,독서·논술·스피치학원,유아·유치원 초보가능",위촉직(프리랜서),"정기휴가, 경조휴가제, 산재보험, 고용보험","거주지 방문수업, 전국 온라인수업",인원미정,없음,수습기간있음,건별,"2,000,000원",협의가능,"(월, 화, 수, 목, 금)",(기본교육(온라인)/ 재택 가능 /방문수업코치)
탑스타pc,탑스타 PC방 알바모집,2022.12.02,1명,여자,무관,무관,없음,"['시급', '10,000원']",6개월~1년,주2일,22:00~03:00,캐셔·카운터,알바,없음,없음,없음,없음,없음,시급,"10,000원",없음,"(금, 토)",(익일)
브이허브,"재택 TM모집, 일 20만원 수입 가능, 1차 컨텍만 하면 끝",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,월~금,시간협의,텔레마케팅·아웃바운드,"알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",협의가능,없음,(시간 자유)
주식회사 보이스루,[프리랜서/계약직]콘텐츠 번역가 모집 (한영 영상번역),상시모집,0명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험","['월급', '2,500,000원', '협의가능', '본사와의 전속 계약인 경우 최대 500만원/월 이상 가능']",1개월~3개월,요일협의,시간협의,미디어 기타,"알바, 계약직",없음,없음,인원미정,없음,"협의가능,본사와의 전속 계약인 경우 최대 500만원/월 이상 가능",월급,"2,500,000원",협의가능,없음,(프리랜서/계약직)
㈜대경디앤시/버거킹 대전관평점,버거킹 알바 및 매니저 모집,2022.12.06,1명,무관,무관,무관,없음,"['시급', '9,160원']",6개월~1년,요일협의,시간협의,패스트푸드점,"알바, 정규직","국민연금, 고용보험, 산재보험, 건강보험, 퇴직금, 근무복 지급, 중식제공, 야간근로수당, 연장근로수당",없음,없음,없음,없음,시급,"9,160원",협의가능,없음,없음
탑스타 pc 호탄점,"호탄동TopStarPc방평일,주말PT(여) 평일야간(남) 아르바이트구해요",상시모집,3명,무관,무관,무관,"군필자, 유사업무 경험, 대학재학생, 대학휴학생","['시급', '9,160원', '수습기간있음', '내용참조']",6개월~1년,요일협의,시간협의,"PC방,서비스 기타 초보가능",알바,없음,없음,없음,없음,"수습기간있음,내용참조",시급,"9,160원",협의가능,(내용참조),(내용참조)
㈜웨딩북,"프리랜서, 아르바이트 채용(오전 근무/평일, 주말 선택/재택,출근 가능)",상시모집,00명,무관,20세(2003년생) ~ 55세(1968년생),고등학교 졸업 이상,없음,"['시급', '10,000원']",1개월~3개월,월~일,10:00~13:30,"결혼·연회·장례도우미,비서","알바, 위촉직(프리랜서)",없음,없음,인원미정,장년가능,없음,시급,"10,000원",협의가능,없음,없음
+디쉐어비대면수학학원+,+디쉐어수학학원+ 재택/경력/신입/250-300가능/1대1학습관리,상시모집,00명,무관,무관,대학(4년제) 졸업 이상,없음,"['월급', '3,000,000원', '협의가능', '250만원~300만원']",6개월~1년,요일협의,16:00~22:00,"입시·보습학원,외국어·어학원,교육·강사 기타 초보가능","계약직, 위촉직(프리랜서)","정기휴가, 인센티브제, 장기근속자 포상, 우수사원 표창/포상, 경조휴가제",없음,인원미정,없음,"협의가능,250만원~300만원",월급,"3,000,000원",협의가능,없음,없음
㈜글로벌에듀유에스에이,제품디자인 수정(라이노),2022.12.06,1명,무관,무관,무관,없음,"['건별', '100,000원']",하루(1일),요일협의,시간협의,제품·산업디자인,알바,없음,없음,없음,없음,없음,건별,"100,000원","11.26(토),협의가능",없음,없음
올드상해(로상해),공덕역 10번출구 중식포차 올드상해에서 함께할 크루 모집합니다,상시모집,1명,무관,무관,무관,"중국어가능, 유사업무 경험","['월급', '3,000,000원', '협의가능 수습기간있음', '주휴수당 포함']",6개월~1년,요일협의,02:30~02:00,"일반음식점,주방보조·설거지,주방장·조리사","알바, 정규직",없음,없음,없음,없음,"협의가능 수습기간있음,주휴수당 포함",월급,"3,000,000원",협의가능,(주1회휴무(수습기간후 월차)),(익일)
지엠(GM)글로벌,[재택] 온라인쇼핑몰 상품 업로드 단순 업무 아르바이트 부업 재택,2022.12.10,2명,무관,20세(2003년생) ~ 55세(1968년생),무관,컴퓨터활용가능,"['건별', '250원', '협의가능', '주급 지급']",3개월~6개월,요일협의,시간협의,문서작성·자료조사,알바,없음,없음,없음,장년가능,"협의가능,주급 지급",건별,250원,협의가능,없음,없음
㈜동화세상에듀코 와와학습 코칭센터,"영어.수학 방문지도 ,온라인 화상 수업, 재택 근무-파트타임 가능",2022.12.16,3명,무관,무관,대학(4년제) 졸업 이상,유사업무 경험,"['월급', '2,500,000원']",1년이상,요일협의,시간협의,"방문·학습지,외국어·어학원,입시·보습학원",위촉직(프리랜서),"정기휴가, 인센티브제, 장기근속자 포상, 우수사원 표창/포상",없음,친구,없음,없음,월급,"2,500,000원",없음,없음,없음
㈜이츠하임 라파에듀 학원,고등 국어 화상과외 선생님 [재택근무 학원방문 없음],상시모집,6명,무관,23세(2000년생) ~ 56세(1967년생),"대학(2,3년제) 졸업 이상",없음,"['시급', '25,000원', '협의가능', '경력. 근무 시간 등에 따라 시급 인상 가능']",1년이상,요일협의,시간협의,입시·보습학원,"알바, 계약직",없음,없음,없음,장년가능,"협의가능,경력. 근무 시간 등에 따라 시급 인상 가능",시급,"25,000원",없음,없음,(오후 5시 - 밤12시 주말 전 시간 가능)
